Protein,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46
A2A432,281834.866578381,305889.004122867,305625.765491533,222029.919657899,247698.841041337,244869.225285773,351645.28003304,213866.87345594,297300.459697962,367156.050434754,347745.888571304,308266.789091993,302956.231959148,288527.4169062,327056.774751038,384870.885297826,65326.8568816717,264132.233712491,185937.96268221,233493.019424891,188830.578227099,237109.111690665,240029.534178404,139543.131673481,292268.980937822,165809.31851512,190625.996839816,99982.5246688102,267580.104021676,241212.395813423,162020.250128673,219168.192750423,67893.3476118853,80505.6609156151,56358.5848297158,65489.8545678933,53429.7006298705,70037.5859989087,77760.5818003689,75270.9312415861,61276.6404373763,82063.2295669414,86359.2544146552,59904.7751457751,75008.8121245845,66756.9252942742
A2A5R2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33588.3975652467,52995.3407285181,35044.7927486597,NaN,70150.7859798301,110303.843392777,104626.041923337,78842.505677723,22712.5771505333,48962.8654622868,80190.7362421797,72215.1630917956,64164.1645884998,48837.2969544124
A2A699,503886.579640136,232147.904914676,305625.765491533,214953.268832149,275128.57847209,388806.691045152,316339.529025707,230940.27932007,417615.601745819,480621.185554533,249887.749073852,474839.018987317,469021.129477497,NaN,455926.906891746,408374.450812197,300260.087530665,378557.750122236,455650.172287176,780413.605465176,739319.721533215,562765.194552118,984029.124792694,794399.113884031,491011.887975541,404769.806963381,879970.81784434,1095046.69875364,1111903.81063061,784912.917021903,785518.867865222,564433.153932597,80522.5850964181,145146.474606769,169075.754489147,34896.9029669058,167988.578399593,102700.374576381,213431.155421358,202686.849250772,138010.451435532,208138.023594366,117495.584237626,152579.456232365,201400.597098712,131242.348404622
A2A7S8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26870.7180521973,24303.5957481102,23158.2548573014,23962.5400372754,24964.9692899395,24738.0464308072,27462.470347923,22500.9189476628,27680.9534022124,31816.6934745572,23792.8558081193,30342.5055007544,28144.4424150764,31043.8631803242
A2A8L1,369679.500317097,446998.514953356,247358.982861852,418406.980072455,422251.715600669,223805.205906351,464623.683256508,141080.248456229,340892.902468925,392846.269707157,471816.02971986,230388.863426648,507171.173501981,531609.123457211,518409.395202392,341781.015188145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2A8L5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,341850.167222413,330880.451618175,332032.076218233,338670.055201868,388329.550704315,293188.86009883,248306.414667315,132565.975089807,387920.647426564,305284.21585431,NaN,176159.686321237,178989.393906391,85007.916911666,128498.819067568,342262.657171894,114648.397022709,117298.604478726,48365.9127993198,82356.6910018979,112770.110499727,123154.776603586,118357.277097299,86074.9439109004,29337.0788194388,37959.9743471662,77840.8245574273,61812.0183486797,NaN,42401.3740999549
A2ADY9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113611.925011603,NaN,NaN,NaN,110951.300201233,96712.9696232049,137948.008148508,131569.238434996,25294.5518048006,128746.059082328,NaN,161876.468511407,167237.565013547,111852.522252192,NaN,141108.288483149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2AG50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,257655.615651314,268899.963562897,269712.209604965,280822.685524531,231504.155227573,210545.020339429,243708.147729031,251177.637012265,261447.888402561,169710.714244888,166926.548584055,244719.131808421,318203.366944695,256774.485865901,368735.741672152,354271.873213014,111961.325217489,85231.3600888586,84025.5264733945,97827.6513172261,97215.6124997645,133863.887612593,109103.618610499,79556.8205649505,160092.123665217,104527.465593646,138057.31147921,142176.311489249,125875.373186695,125563.592944807
A2AGT5,564889.797514244,661849.124992037,587065.319325462,564362.903353544,514515.377867745,543276.166494242,700466.099985494,706299.842589786,545777.383492448,537353.753114422,537346.033847619,554880.220365588,593569.802616258,621443.667182583,492049.595446338,504347.343329212,559944.487557186,575941.765929043,572116.808252955,596353.792855464,579293.807781437,558829.773611194,574783.367285452,635917.985769149,525021.36939376,439882.368531289,1380750.4635965,549427.778418128,494480.800337352,528138.431156002,539695.040083787,550422.401884625,133457.899659247,145990.349459134,167026.35140443,184953.585724601,163322.228999605,207756.753574745,162685.286300196,170542.679325539,184539.689348083,185215.333771197,154702.519246208,187256.605376084,169124.860384175,179196.283398619
A2AJA9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33880.6990659602,NaN,NaN,NaN,89507.8277584946,80282.5871948476,77710.711256993,59405.5046267104,87255.5757636188,95974.3349522812,98610.3129598399,86461.0784755045,130174.104659194,NaN,76205.3866122448,79460.9794720714,16838.9833127104,13333.222667366,11271.7169659432,17913.7435230117,16176.6779199608,17027.4865043219,23731.1564419552,24822.4423311518,17586.4746686421,21639.0191930706,25163.6376242249,20892.9823590909,15879.6624635523,23724.578365451
A2AJI0,378219.950819472,412403.925201366,383681.266750162,397177.027595205,354092.974106073,333513.640174171,340347.439710694,392688.334874983,317352.983372605,405691.379343358,429003.093689725,454287.899714517,381500.440244854,424864.547971767,393444.418581099,377036.363459703,375325.109413332,189755.648046158,440325.614923257,320789.959119782,545154.946181059,184964.784223423,424879.865097406,321945.939503817,193428.925566122,436956.321733963,369917.474948616,381838.022782789,465553.221524199,294707.080368819,627968.141878029,482370.177651617,163911.380118404,176369.844144272,150631.126726695,139587.611867623,168766.303299591,105698.925658904,176118.01636168,167863.998498437,244475.656828657,192550.594514611,208554.662021786,223667.61197699,187199.272944316,159005.152874831
A2AL36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172446.671892612,102982.964768769,139964.290590455,127264.213290143,144023.3223766,165287.679518804,104840.486192866,139543.131673481,68869.199871894,224330.254461633,161774.494615411,198060.62029631,79370.0443685915,129359.873561231,175428.822553115,114087.552390631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2ALS5,536828.317292154,694622.946862343,806939.970758219,673166.409799446,719822.806516101,512557.804899252,536647.415311467,507709.174380699,668708.072106561,710762.733203141,827425.518786496,690084.952423481,380378.380126486,494618.428982056,621896.016466899,413271.026961024,931212.028220103,835306.269791128,789725.522820598,432277.617043378,781993.29853369,708375.769366303,692499.000905513,886098.886126604,945888.701944224,742240.537588273,741895.771484689,625604.940070555,753925.022817829,753788.736916945,692776.241929498,847650.498902324,236462.318859337,144302.599754404,198792.099217543,248931.241163929,223984.771199458,207756.753574745,264177.024542521,211615.785341114,320972.878481495,257651.033612408,266323.324271953,274816.406963976,259496.923184879,241031.62062772
A2ALU4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157230.789078558,128728.705960962,25745.256371383,32499.7040550862,NaN,86480.8751768028,130590.781047255,40666.8555162716,49313.748056418,118017.220825468,NaN,144736.607139611,69154.9931001966,144921.963613709,139672.62942127,140107.520479723,42903.5798233418,59661.9520622011,54104.2414365272,52578.0004701382,74583.8179098193,29664.2374949507,42238.4734155556,53395.0378202474,71923.1609766887,63908.4592269924,62762.2245802652,51755.6450970011,35890.6192265653,50225.4371779228
A2AN08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218094.320334774,213594.297298188,126683.007541726,163024.405454315,234704.673502608,275479.465864673,365102.394899719,105654.085409921,148791.481204709,172636.761042213,121588.473659991,160924.253990752,194357.170150879,93080.7511263893,101905.150425759,233178.944798396,140623.424473166,129956.7272642,91813.2581953189,243115.090669444,108103.761099738,118871.132199983,279102.280166392,214294.466168217,134855.926831291,206304.208408512,133161.662135976,110966.877259902,232385.304344668,200649.359580144
A2AP18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135877.741960077,104125.265419208,181362.702252016,129868.891050489,89850.135974062,115621.451958027,99796.5720365873,NaN,128801.349216092,157115.39590813,NaN,139086.17984403,106486.412670776,124095.232424897,83478.3640821597,NaN,61891.9731584516,74330.4033195095,71939.5532498258,41444.2596048589,70745.7116571497,68217.0717302157,71371.1191709466,102693.650407793,82736.4739006616,71608.3129817805,92179.5040567182,78871.6036085471
A2APV2,503886.579640136,495248.863817976,404569.358636274,480327.674797765,329988.053333594,595058.547468652,603022.227205255,898600.308638405,432437.032287945,572677.804613976,512881.498973255,NaN,520635.894922388,394215.115406639,444211.4403335,450485.005692112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2APX8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57921.7939121655,NaN,43010.9243347311,NaN,45767.4113330086,46339.5815793789,NaN,45849.8861212866,70250.8350545092,45158.6555720592,40701.226352285,41897.4389088348,NaN,48631.5314139965,55757.3136649709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
